ID	labels	Multiple labels
__id__137-UnitUnat_StatuteICOJ_EN.txt	A9 (legal)	
__id__138-WindParaschivoiuEt_DarrieusTurbine_EN.txt	A14 (academic)	
__id__139-WindPurohitEt_CDMIndia_EN.txt	A14 (academic)	
__id__140-WindRiadhEt_Contrarotating_EN.txt	A14 (academic)	
__id__141-ted	A11 (personal)	
__id__142-ted	A1 (argumentative)	
__id__143-ted	A1 (argumentative)	
__id__144-ted	A11 (personal)	
__id__145-ted	A1 (argumentative)	
__id__146-ted	A11 (personal)	
__id__147-ted	A1 (argumentative)A11 (personal)	y
__id__148-ted	A1 (argumentative)	
__id__149-ted	A1 (argumentative)A14 (academic)	y
__id__150-ted	A1 (argumentative)	
__id__151-ted	A14 (academic)	
__id__152-ted	A11 (personal)	
__id__153-ted	A14 (academic)	
__id__154-ted	A11 (personal)	
__id__155-ted	A11 (personal)	
__id__156-ted	A11 (personal)	
__id__157-ted	A11 (personal)	
__id__158-ted	A1 (argumentative)A11 (personal)	y
__id__159-ted	A11 (personal)	
__id__160-ted	A14 (academic)	
__id__161-ted	A11 (personal)	
__id__162-ted	A11 (personal)	
__id__163-ted	A1 (argumentative)	
__id__164-ted	A1 (argumentative)A11 (personal)	y
__id__165-ted	A14 (academic)	
__id__166-ted	A1 (argumentative)	
__id__167-ted	A1 (argumentative)	
__id__168-ted	A1 (argumentative)	
__id__169-ted	A14 (academic)	
__id__170-ted	A14 (academic)	
__id__171-ted	A1 (argumentative)	
__id__172-ted	A1 (argumentative)	
__id__173-ted	A14 (academic)	
__id__174-ted	A1 (argumentative)	
__id__175-ted	A14 (academic)	
__id__176-ted	A11 (personal)	
__id__177-ted	A1 (argumentative)	
__id__178-ted	A14 (academic)	
__id__179-un	A9 (legal)	
__id__180-un	A9 (legal)	
__id__181-un	A16 (information)	
__id__182-un	A1 (argumentative)	
__id__183-un	A1 (argumentative)	
__id__184-un	A1 (argumentative)	
__id__185-un	A1 (argumentative)	
__id__186-un	A11 (personal)	
__id__187-un	A11 (personal)	
__id__188-un	A11 (personal)	
__id__189-un	A1 (argumentative)	
__id__190-un	A9 (legal)	
__id__191-un	A14 (academic)	
__id__192-un	A1 (argumentative)	
__id__193-un	A1 (argumentative)	
__id__194-un	A1 (argumentative)	
__id__195-un	A8 (news)	
__id__196-un	A1 (argumentative)	
__id__197-un	A1 (argumentative)	
__id__198-un	A1 (argumentative)	
__id__199-un	A1 (argumentative)A8 (news)	y
__id__200-un	A1 (argumentative)A8 (news)	y
__id__201-un	A14 (academic)	
__id__202-un	A14 (academic)	
__id__203-un	A9 (legal)	
__id__204-un	A16 (information)	
__id__205-un	A16 (information)	
__id__206-un	A16 (information)	
__id__207-un	A16 (information)	
__id__208-un	A16 (information)	
__id__209-un	A14 (academic)	
__id__210-un	A8 (news)	
__id__211-un	A8 (news)	
__id__212-un	A8 (news)	
__id__213-un	A1 (argumentative)	
__id__214-un	A9 (legal)	
__id__215-un	A9 (legal)	
__id__216-un	A1 (argumentative)	
__id__217-un	A1 (argumentative)	
__id__218-un	A8 (news)	
__id__219-un	A1 (argumentative)	
__id__220-un	A1 (argumentative)	
__id__221-un	A1 (argumentative)	
__id__222-un	A1 (argumentative)	
__id__223-un	A8 (news)	
__id__224-un	A8 (news)	
__id__225-un	A1 (argumentative)	
__id__226-un	A1 (argumentative)	
__id__227-un	A1 (argumentative)	
__id__228-un	A1 (argumentative)A8 (news)	y
__id__229-un	A1 (argumentative)	
__id__230-un	A1 (argumentative)	
__id__231-un	A1 (argumentative)	
__id__232-un	A11 (personal)	
__id__233-un	A1 (argumentative)	
__id__234-un	A1 (argumentative)	
__id__235-un	A1 (argumentative)	
__id__236-un	A1 (argumentative)	
__id__237-un	A1 (argumentative)	
__id__238-un	A1 (argumentative)	
__id__239-un	A9 (legal)	
__id__240-un	A1 (argumentative)	
__id__241-un	A1 (argumentative)	
__id__242-un	A1 (argumentative)	
__id__243-un	A16 (information)	
__id__244-un	A1 (argumentative)	
__id__245-un	A1 (argumentative)	
__id__246-un	A1 (argumentative)A11 (personal)	y
__id__247-un	A16 (information)	
__id__248-gov	A7 (instruction)	
__id__249-co	A12 (promotion)	
__id__250-ac	A16 (information)	
__id__251-org	A1 (argumentative)	
__id__252-org	A12 (promotion)	
__id__253-org	A12 (promotion)	
__id__254-org	A8 (news)A12 (promotion)	y
__id__255-gov	A16 (information)	
__id__256-co	A1 (argumentative)	
__id__257-co	A7 (instruction)A12 (promotion)	y
__id__258-co	A11 (personal)	
__id__259-org	A16 (information)	
__id__260-sch	A12 (promotion)	
__id__261-ac	A16 (information)	
__id__262-org	A12 (promotion)	
__id__263-co	A12 (promotion)	
__id__264-co	A12 (promotion)	
__id__265-org	A1 (argumentative)	
__id__266-co	A12 (promotion)	
__id__267-co	A16 (information)	
__id__268-co	A7 (instruction)	
__id__269-ac	A7 (instruction)	
__id__270-co	A1 (argumentative)	
__id__271-ac	A8 (news)	
__id__272-co	A8 (news)	
__id__273-co	A12 (promotion)	
__id__274-org	A16 (information)	
__id__275-co	A1 (argumentative)	
__id__276-gov	A16 (information)	
__id__277-org	A7 (instruction)	
__id__278-co	A8 (news)A17 (review)	y
__id__279-org	A8 (news)	
__id__280-org	A8 (news)A12 (promotion)	y
__id__281-org	A14 (academic)	
__id__282-ac	A14 (academic)	
__id__283-co	A8 (news)	
__id__284-gov	A9 (legal)	
__id__285-co	A16 (information)	
__id__286-co	A7 (instruction)	
__id__287-co	A12 (promotion)	
__id__288-co	A12 (promotion)	
__id__289-co	A7 (instruction)A17 (review)	y
__id__290-org	A7 (instruction)	
__id__291-org	A1 (argumentative)	
__id__292-ac	A12 (promotion)	
__id__293-gov	A17 (review)	
__id__294-nhs	A1 (argumentative)	
__id__295-org	A1 (argumentative)	
__id__296-co	A12 (promotion)	
__id__297-org	A1 (argumentative)	
__id__298-co	A7 (instruction)	
__id__299-org	A8 (news)	
__id__300-ac	A11 (personal)	
__id__301-co	A12 (promotion)	
__id__302-co	A17 (review)	
__id__303-ac	A9 (legal)	
__id__304-co	A9 (legal)	
__id__305-ac	A1 (argumentative)	
__id__306-co	A1 (argumentative)	
__id__307-co	A1 (argumentative)	
__id__308-co	A8 (news)	
__id__309-co	A12 (promotion)	
__id__310-co	A17 (review)	
__id__311-org	A12 (promotion)	
__id__312-org	A4 (fiction)	
__id__313-co	A8 (news)	
__id__314-co	A12 (promotion)	
__id__315-org	A8 (news)	
__id__316-org	A17 (review)	
__id__317-co	A7 (instruction)	
__id__318-org	A9 (legal)	
__id__319-ac	A7 (instruction)A14 (academic)	y
__id__320-ac	A7 (instruction)	
__id__321-co	A17 (review)	
__id__322-co	A17 (review)	
__id__323-co	A1 (argumentative)	
__id__324-co	A12 (promotion)	
__id__325-org	A12 (promotion)	
__id__326-org	A1 (argumentative)	
__id__327-co	A12 (promotion)	
__id__328-org	A4 (fiction)A17 (review)	y
__id__329-co	A8 (news)A12 (promotion)	y
__id__330-co	A1 (argumentative)	
__id__331-ac	A7 (instruction)	
__id__332-org	A9 (legal)	
__id__333-org	A1 (argumentative)	
__id__334-org	A1 (argumentative)	
__id__335-gov	A12 (promotion)	
__id__336-ac	A16 (information)	
__id__337-co	A16 (information)	
__id__338-co	A12 (promotion)	
__id__339-co	A12 (promotion)	
__id__340-co	A12 (promotion)	
__id__341-co	A9 (legal)	
__id__342-co	A8 (news)A12 (promotion)	y
__id__343-co	A12 (promotion)A17 (review)	y
__id__344-co	A12 (promotion)	
__id__345-org	A1 (argumentative)	
__id__346-org	A7 (instruction)	
__id__347-co	A12 (promotion)	
__id__348-nhs	A14 (academic)A16 (information)	y
__id__349-ac	A12 (promotion)	
__id__350-co	A12 (promotion)A16 (information)	y
__id__351-co	A8 (news)A12 (promotion)	y
__id__352-co	A11 (personal)	
__id__353-co	A7 (instruction)	
__id__354-co	A11 (personal)A17 (review)	y
__id__355-org	A12 (promotion)	
__id__356-co	A17 (review)	
__id__357-gov	A9 (legal)	
__id__358-co	A7 (instruction)	
__id__359-org	A1 (argumentative)A9 (legal)	y
__id__360-sch	A7 (instruction)	
__id__361-ac	A14 (academic)	
__id__362-co	A17 (review)	
__id__363-co	A11 (personal)	
__id__364-co	A12 (promotion)	
__id__365-co	A8 (news)	
__id__366-co	A17 (review)	
__id__367-co	A7 (instruction)	
__id__368-co	A14 (academic)	
__id__369-ac	A16 (information)	
__id__370-co	A7 (instruction)	
__id__371-co	A9 (legal)	
__id__372-org	A1 (argumentative)	
__id__373-gov	A1 (argumentative)	
__id__374-ac	A14 (academic)	
__id__375-co	A14 (academic)	
__id__376-co	A12 (promotion)	
__id__377-plc	A12 (promotion)	
__id__378-co	A12 (promotion)	
__id__379-co	A12 (promotion)	
__id__380-co	A8 (news)	
__id__381-org	A11 (personal)	
__id__382-ac	A11 (personal)	
__id__383-co	A1 (argumentative)	
__id__384-co	A8 (news)	
__id__385-nhs	A7 (instruction)A16 (information)	y
__id__386-co	A12 (promotion)	
__id__387-co	A12 (promotion)	
__id__388-co	A12 (promotion)	
__id__389-org	A7 (instruction)	
__id__390-ac	A1 (argumentative)	
__id__391-co	A1 (argumentative)	
__id__392-ac	A8 (news)	
__id__393-co	A8 (news)A12 (promotion)	y
__id__394-ac	A12 (promotion)	
__id__395-co	A12 (promotion)	
__id__396-co	A11 (personal)	
__id__397-gov	A16 (information)	
__id__398-co	A1 (argumentative)	
__id__399-co	A8 (news)	
__id__400-co	A12 (promotion)	
__id__401-co	A7 (instruction)	
__id__402-ac	A8 (news)	
__id__403-co	A8 (news)	
__id__404-gov	A1 (argumentative)	
__id__405-co	A14 (academic)	
__id__406-org	A1 (argumentative)A12 (promotion)	y
__id__407-org	A1 (argumentative)A12 (promotion)	y
__id__408-org	A16 (information)	
__id__409-co	A16 (information)	
__id__410-co	A7 (instruction)	
__id__411-org	A8 (news)	
__id__412-co	A9 (legal)	
__id__413-co	A12 (promotion)	
__id__414-co	A9 (legal)	
__id__415-org	A12 (promotion)	
__id__416-co	A12 (promotion)	
__id__417-co	A12 (promotion)	
__id__418-org	A1 (argumentative)	
__id__419-ac	A7 (instruction)	
__id__420-co	A7 (instruction)	
__id__421-co	A12 (promotion)	
__id__422-co	A12 (promotion)	
__id__423-org	A14 (academic)	
__id__424-co	A17 (review)	
__id__425-org	A7 (instruction)	
__id__426-co	A12 (promotion)	
__id__427-co	A7 (instruction)A16 (information)	y
__id__428-co	A12 (promotion)	
__id__429-co	A8 (news)	
__id__430-co	A14 (academic)	
__id__431-co	A4 (fiction)	
__id__432-co	A11 (personal)	
__id__433-co	A12 (promotion)	
__id__434-ac	A16 (information)	
__id__435-org	A12 (promotion)	
__id__436-co	A12 (promotion)	
__id__437-ac	A9 (legal)	
__id__438-ac	A7 (instruction)	
__id__439-co	A12 (promotion)	
__id__440-net	A12 (promotion)	
__id__441-co	A17 (review)	
__id__442-co	A17 (review)	
__id__443-co	A12 (promotion)	
__id__444-ac	A14 (academic)	
__id__445-co	A16 (information)	
__id__446-org	A8 (news)	
__id__447-co	A7 (instruction)	
__id__448-ac	A14 (academic)	
__id__449-co	A16 (information)	
__id__450-co	A8 (news)	
__id__451-co	A16 (information)	
__id__452-co	A8 (news)	
__id__453-org	A1 (argumentative)	
__id__454-ac	A8 (news)	
__id__455-co	A12 (promotion)	
__id__456-co	A8 (news)	
__id__457-org	A8 (news)	
__id__458-co	A8 (news)	
__id__459-ac	A7 (instruction)	
__id__460-parliament	A1 (argumentative)A11 (personal)	y
__id__461-co	A12 (promotion)	
__id__462-co	A16 (information)	
__id__463-co	A12 (promotion)	
__id__464-co	A12 (promotion)	
__id__465-co	A8 (news)	
__id__466-ac	A22 (non-text)	
__id__467-co	A1 (argumentative)A8 (news)	y
__id__468-co	A12 (promotion)	
__id__469-org	A12 (promotion)	
__id__470-co	A12 (promotion)	
__id__471-co	A12 (promotion)	
__id__472-org	A4 (fiction)	
__id__473-co	A12 (promotion)	
__id__474-org	A1 (argumentative)	
__id__475-org	A7 (instruction)	
__id__476-co	A8 (news)	
__id__477-co	A16 (information)	
__id__478-co	A9 (legal)	
__id__479-org	A1 (argumentative)	
__id__480-co	A7 (instruction)	
__id__481-co	A16 (information)	
__id__482-org	A1 (argumentative)	
__id__483-org	A9 (legal)	
__id__484-co	A1 (argumentative)	
__id__485-co	A12 (promotion)	
__id__486-co	A12 (promotion)	
__id__487-ac	A12 (promotion)	
__id__488-co	A7 (instruction)	
__id__489-co	A16 (information)	
__id__490-org	A1 (argumentative)	
__id__491-co	A7 (instruction)	
__id__492-co	A8 (news)	
__id__493-co	A8 (news)	
__id__494-co	A8 (news)	
__id__495-co	A8 (news)	
__id__496-co	A8 (news)	
__id__497-co	A8 (news)	
__id__498-co	A8 (news)	
__id__499-co	A8 (news)	
__id__500-co	A8 (news)	
__id__501-co	A8 (news)	
__id__502-co	A8 (news)	
__id__503-co	A8 (news)	
__id__504-feedfury	A22 (non-text)	
__id__505-sytes	A22 (non-text)	
__id__506-com	A22 (non-text)	
__id__507-edu	A22 (non-text)	
__id__508-5chre	A22 (non-text)	
__id__509-kontraktunet	A22 (non-text)	
__id__510-instant-auto-loans	A22 (non-text)	
__id__511-updatestill-however	A22 (non-text)	
__id__512-baokelong1	A22 (non-text)	
__id__513-intimno-zdravlje-zene	A22 (non-text)	
__id__514-berttassoni	A22 (non-text)	
__id__515-loansfaqs	A22 (non-text)	
__id__516-lachiavedigiano	A22 (non-text)	
__id__517-digistormz	A22 (non-text)	
__id__518-clearbadcredit	A7 (instruction)	
__id__519-7thgear	A22 (non-text)	
__id__520-badcreditloanspros	A22 (non-text)	
__id__521-solve-up	A7 (instruction)	
__id__522-jomfruanegade	A7 (instruction)	
__id__523-forbearrance	A7 (instruction)	
__id__524-pay-day-loan	A12 (promotion)A22 (non-text)	y
__id__525-therapup	A22 (non-text)	
__id__526-mikelglass	A22 (non-text)	
__id__527-therapup	A22 (non-text)	
__id__528-mikelglass	A22 (non-text)	
__id__529-unsure1	A12 (promotion)A22 (non-text)	y
__id__530-unsure2	A12 (promotion)A22 (non-text)	y
__id__531-unsure3	A12 (promotion)A22 (non-text)	y
__id__532-unsure4	A12 (promotion)A22 (non-text)	y
__id__533-apbahome	A22 (non-text)	
__id__534-scottsparling	A12 (promotion)A22 (non-text)	y
__id__535-apbahome	A22 (non-text)	
__id__536-apbahome	A22 (non-text)	
__id__537-apbahome	A22 (non-text)	
__id__538-buildthewheel	A22 (non-text)	
__id__539-apbahome	A22 (non-text)	
__id__540-scottsparling	A11 (personal)A22 (non-text)	y
__id__541-scottsparling	A22 (non-text)	
__id__542-apbahome	A22 (non-text)	
__id__543-apbahome	A22 (non-text)	
__id__544-scottsparling	A22 (non-text)	
__id__545-apbahome	A22 (non-text)	
__id__546-apbahome	A22 (non-text)	
__id__547-apbahome	A22 (non-text)	
__id__548-apbahome	A22 (non-text)	
__id__549-apbahome	A22 (non-text)	
__id__550-apbahome	A22 (non-text)	
__id__551-scottsparling	A22 (non-text)	
__id__552-scottsparling	A22 (non-text)	
__id__553-apbahome	A22 (non-text)	
__id__554-apbahome	A22 (non-text)	
__id__555-bigaustin	A12 (promotion)A22 (non-text)	y
__id__556-bigaustin	A12 (promotion)A22 (non-text)	y
__id__557-bigaustin	A22 (non-text)	
__id__558-bigaustin	A22 (non-text)	
__id__559-bigaustin	A22 (non-text)	
__id__560-bigaustin	A22 (non-text)	
__id__561-bigaustin	A22 (non-text)	
__id__562-bigaustin	A12 (promotion)A22 (non-text)	y
__id__563-bigaustin	A22 (non-text)	
__id__564-bigaustin	A22 (non-text)	
__id__565-bigaustin	A22 (non-text)	
__id__566-bigaustin	A12 (promotion)A22 (non-text)	y
__id__567-bigaustin	A12 (promotion)A22 (non-text)	y
__id__568-bigaustin	A12 (promotion)A22 (non-text)	y
__id__569-bigaustin	A22 (non-text)	
__id__570-bigaustin	A22 (non-text)	
__id__571-bigaustin	A22 (non-text)	
__id__572-bigaustin	A22 (non-text)	
__id__573-anadolumetal	A22 (non-text)	
__id__574-numberless	A22 (non-text)	
__id__575-edu	A22 (non-text)	
__id__576-baroks-schachtabdeckungen	A22 (non-text)	
__id__577-jalisco	A22 (non-text)	
__id__578-ruv	A22 (non-text)	
__id__579-kevenparker	A22 (non-text)	
__id__580-elettrodigit	A22 (non-text)	
__id__581-buoiholo	A22 (non-text)	
__id__582-elettrodigit	A22 (non-text)	
__id__583-intermobel	A22 (non-text)	
__id__584-ancpalagiano	A22 (non-text)	
__id__585-edu	A22 (non-text)	
__id__586-numberless	A22 (non-text)	
__id__587-ac	A22 (non-text)	
__id__588-ac	A22 (non-text)	
__id__589-thebolthole	A4 (fiction)	
__id__590-elbierzoatope	A22 (non-text)	
__id__591-schlagr	A22 (non-text)	
__id__592-buoiholo	A22 (non-text)	
__id__593-tv	A22 (non-text)	
__id__594-boloto	A22 (non-text)	
__id__595-autoinsurancecav	A22 (non-text)	
__id__596-coalport	A22 (non-text)	
__id__597-thietbisuoiam	A22 (non-text)	
__id__598-scottsparling	A22 (non-text)	
__id__599-scottsparling	A22 (non-text)	
__id__600-scottsparling	A11 (personal)A22 (non-text)	y
__id__601-scottsparling	A22 (non-text)	
__id__602-scottsparling	A22 (non-text)	
__id__603-scottsparling	A22 (non-text)	
__id__604-scottsparling	A22 (non-text)	
__id__605-apbahome	A7 (instruction)	
__id__606-buildthewheel	A1 (argumentative)	
__id__607-scottsparling	A11 (personal)	
__id__608-scottsparling	A11 (personal)A16 (information)	y
__id__609-scottsparling	A22 (non-text)	
__id__610-buildthewheel	A1 (argumentative)	
__id__611-org	A11 (personal)	
__id__612-org	A11 (personal)	
__id__613-co	A11 (personal)	
__id__614-org	A11 (personal)	
__id__615-co	A11 (personal)	
__id__616-org	A11 (personal)	
__id__617-co	A11 (personal)	
__id__618-co	A11 (personal)	
__id__619-co	A11 (personal)	
__id__620-org	A11 (personal)	
__id__621-org	A11 (personal)	
__id__622-org	A11 (personal)	
__id__623-co	A11 (personal)	
__id__624-org	A11 (personal)	
__id__625-co	A11 (personal)	
__id__626-co	A11 (personal)	
__id__627-org	A11 (personal)	
__id__628-co	A11 (personal)	
__id__629-org	A11 (personal)	
__id__630-co	A1 (argumentative)A11 (personal)	y
__id__631-co	A11 (personal)	
__id__632-co	A11 (personal)	
__id__633-org	A11 (personal)	
__id__634-co	A1 (argumentative)A11 (personal)	y
__id__635-co	A11 (personal)	
__id__636-co	A11 (personal)	
__id__637-co	A11 (personal)	
__id__638-org	A11 (personal)	
__id__639-org	A11 (personal)	
__id__640-org	A11 (personal)	
__id__641-co	A11 (personal)	
__id__642-co	A11 (personal)	
__id__643-org	A11 (personal)	
